이벤트분류명,시스템유형,유서비스그룹유형,표준이벤트여부,일련번호,정렬순서,이벤트명,이벤트설명,긴급도등급분류,이벤트아이콘표출여부,이벤트발송위치이동여부,상황실경광등작동여부,복합이벤트여부,이벤트자동전송문장,사용유형분류,자동종료시각,등록자명,등록일시,수정자명,수정일시,자동문자여부,자동푸시여부,콜백번호,종료시자동발송여부,연계여부
WLSDP110,WLS,DP,Y,110,,오/우수관수위,,30,Y,Y,1,N,,Y,601,,2015-11-04 13:34:41,,2017-02-24 14:46:22,N,N,,N,N
LPRUM101,LPR,UM,Y,101,,관심차량(수배),,20,Y,Y,0,N,,Y,43200,,2015-11-02 15:52:15,,2016-04-08 19:04:17,Y,Y,,N,N
FCLFT101,FCL,FT,Y,101,5,시설물고장,시설물고장,10,Y,Y,0,N,,Y,7200,,2015-04-29 10:54:00,,2016-04-08 19:05:07,N,N,,N,N
LPRUM102,LPR,UM,Y,102,,관심차량(체납),,20,Y,Y,0,N,,Y,43200,,2015-04-29 10:54:00,,2020-09-03 16:57:00,Y,Y,,N,Y
LPRUM104,LPR,UM,Y,104,,관심차량(대포),,20,Y,Y,0,N,,Y,43200,,2015-04-29 10:54:00,,2016-04-08 19:03:44,Y,Y,,N,N
WESEN110,WES,EN,Y,110,24,기상특보,기상특보,10,Y,Y,0,N,,Y,300,,2015-04-29 10:54:00,,2016-04-08 18:58:02,N,N,,N,N
POCCP101,POC,CP,Y,101,,지능형영상분석,지능형영상분석,30,Y,Y,0,N,,Y,1200,,2015-04-29 10:54:00,,2016-04-08 18:59:24,N,N,,N,N
EBSCP110,POC,CP,Y,110,,비상벨(방범),비상벨,10,Y,Y,1,N,,Y,600,,,,2016-11-18 17:15:46,N,N,,N,N
MTSUC250,MTS,UC,Y,250,,이상징후(일반시설물),,30,Y,Y,0,N,,Y,1200,,,,2016-04-11 13:33:05,N,N,,N,N
APLEN110,APL,EN,Y,110,,대기특보,,30,Y,Y,0,N,,Y,1200,,2016-01-07 10:38:01,,2016-04-08 19:05:39,N,N,,N,N
NMSFT110,NMS,FT,Y,110,,NMS이상,,20,Y,Y,0,N,,Y,300,,2016-01-07 10:40:04,,2016-04-08 19:00:28,N,N,,N,N
LPRUM105,LPR,UM,Y,105,,관심차량(세외수입),,30,Y,Y,0,N,,Y,43200,,2016-01-07 11:08:00,,2016-04-08 19:02:20,Y,Y,,N,N
MTSUC220,MTS,UC,Y,220,,이상징후(방재),,30,Y,Y,0,N,,Y,1200,,2016-01-07 11:12:32,,2016-01-22 16:38:10,N,N,,N,N
MTSUC230,MTS,UC,Y,230,,이상징후(안전),,30,Y,Y,0,N,,Y,1200,,2016-01-07 11:15:20,,2016-04-08 19:03:09,N,N,,N,N
FNMFT110,FNM,FT,Y,110,,FNMS이상,,20,Y,Y,0,N,,Y,300,,2016-01-07 10:42:18,,2016-01-22 14:16:37,N,N,,N,N
FMSFT110,FMS,FT,Y,110,,FMS이상,,20,Y,Y,0,N,,Y,3600,,2016-01-07 11:02:38,,2016-03-10 15:46:37,N,N,,N,N
MTSUC210,MTS,UC,Y,210,,이상징후(범죄),,30,Y,Y,0,N,,Y,1200,,2016-01-07 11:11:29,,2016-03-22 14:33:28,N,N,,N,N
MTSUC240,MTS,UC,Y,240,,이상징후(CCTV),,30,Y,Y,0,N,,Y,1200,,2016-01-07 11:17:17,,2016-04-08 19:01:11,N,N,,N,N
